,"a, град","n, об/мин","fx, Н","mx, Н*м","Fx, Н","Wв, Вт","P, Н/Вт"
0,-0.0,0.0,,0.0,0.0,0.0,
1,-0.0,1000.0,,0.0051074065916666645,0.0018373346249999914,0.5348463675758691,0.0034352568071603505
2,-0.0,2000.0,,0.016258499,0.082571805,3.4051720677864665,0.024248937603225388
3,-0.0,3000.0,,0.03317226240833334,0.24610159787500002,10.421373588497287,0.023615082578618767
4,-0.0,4000.0,,0.055567682,0.49632489999999996,23.2761362064285,0.021323337155198588
5,-0.0,5000.0,,0.0832085354,0.83715452575,43.56788725476771,0.019214944274314995
6,-0.0,6000.0,,0.11603777000000001,1.2725618,72.90868115418841,0.017454187620110237
7,-0.0,7000.0,,0.15402991911666666,1.8050197497500005,112.90982787698834,0.015986382972051925
8,-0.0,8000.0,,0.19710668999999997,2.4309497000000007,165.1277144739735,0.014721633541310555
9,-0.0,9000.0,,0.2451765833833333,3.14526005025,231.07348595679758,0.013611514264505667
10,-0.0,10000.0,,0.2981481,3.9428592,312.21996021391834,0.012628466153472505
11,1.0,0.0,,0.0,0.0,0.0,
12,1.0,1000.0,,0.005252368171899746,0.021231280863825086,0.5500267087596364,0.03860045435194171
13,1.0,2000.0,,0.017076086919657098,0.17578661777598753,3.5764072812570333,0.049151733555973014
14,1.0,3000.0,,0.03512098036494318,0.4647380911581986,11.03358139013769,0.04212033017435322
15,1.0,4000.0,,0.059036872629429055,0.8891577814321691,24.72930737913742,0.035955628186428557
16,1.0,5000.0,,0.08854812531626116,1.451330176668517,46.363689997119074,0.03130316367741004
17,1.0,6000.0,,0.12367724995448695,2.1583893955334803,77.70870797464094,0.027775386462966775
18,1.0,7000.0,,0.1644749715960749,3.0165839363398366,120.56645124197773,0.025020093942099458
19,1.0,8000.0,,0.21080671945877702,4.023770185390867,176.60502431441557,0.02278400742567335
20,1.0,9000.0,,0.26249159880179085,5.175706500987479,247.39250352742363,0.020921032073284905
21,1.0,10000.0,,0.3193487148843137,6.468151241430587,334.42119220463377,0.019341331806127578
22,2.0,0.0,,0.0,0.0,0.0,
23,2.0,1000.0,,0.0055897266146998715,0.04134062889024588,0.5853548022772154,0.07062490771309599
24,2.0,2000.0,,0.01829648839982855,0.2709759468879938,3.832007569559482,0.07071383392886788
25,2.0,3000.0,,0.03781353892872161,0.6896504166207661,11.879473610470345,0.05805395417629626
26,2.0,4000.0,,0.06383413177471453,1.2981085007160849,26.738778590896793,0.04854778599191608
27,2.0,5000.0,,0.0961155632943806,2.098701704209259,50.32599125687848,0.04170214340134655
28,2.0,6000.0,,0.13467130097724353,3.100209701766741,84.61647395989763,0.03663837024497176
29,2.0,7000.0,,0.1795400563717875,4.310722306128252,131.60973516196447,0.03275382554963199
30,2.0,8000.0,,0.23060534612938854,5.729141712695434,193.1914830076316,0.029655249928740992
31,2.0,9000.0,,0.28771188817714555,7.352073212535407,271.1620662743305,0.027113206922893953
32,2.0,10000.0,,0.35070440044215695,9.176122096715295,367.2567893368977,0.02498557511566576
33,3.0,0.0,,0.0,0.0,0.0,
34,3.0,1000.0,,0.006102224716133456,0.06346309846808745,0.6390234779586309,0.09931262411644276
35,3.0,2000.0,,0.019941296320171453,0.36959632011200627,4.176495334833854,0.08849436919740011
36,3.0,3000.0,,0.041313444590445114,0.9212708065209012,12.979001401983135,0.07098164011139832
